parent_id,cov,out_hold
10007,1,0
10008,1,0
10010,1,0
10011,1,0
10012,1,0
10013,1,0
10015,1,0
10016,1,0
10017,1,0
10018,1,0
10021,1,0
10022,2,0
10023,1,0
10024,1,0
10025,3,0
10026,1,0
10027,1,0
10028,2,0
10031,1,0
10033,1,0
10034,1,0
10048,1,0
10049,2,0
10051,1,1
10052,1,0
10056,1,0
10057,1,0
10058,1,0
10060,1,0
10061,1,0
10062,1,0
10065,2,0
10066,1,0
10070,1,0
10072,1,0
10075,1,0
10076,1,0
10077,1,0
10078,1,0
10079,1,0
10081,1,0
10082,2,0
10084,1,1
10085,2,0
10086,1,0
10087,1,0
10089,1,0
10094,1,1
10095,1,0
10096,1,0
10098,1,0
10099,1,0
10100,1,0
10101,1,0
10103,1,0
10104,1,0
10105,1,0
10106,3,0
10107,1,0
10108,2,0
10109,1,0
10110,1,0
10112,1,0
10113,1,0
10114,1,0
10115,1,0
10116,1,0
10117,1,0
10118,1,0
10119,1,0
10120,1,0
10122,1,1
10123,1,1
10124,2,0
10126,1,0
10128,1,0
10129,1,0
10131,1,0
10132,1,0
10134,1,0
10135,1,0
10139,1,0
10140,1,0
10141,1,1
10143,1,1
10144,1,0
10145,1,0
10146,1,1
10147,1,1
10149,1,0
10150,1,0
10157,1,0
10159,1,0
10160,1,0
10162,1,0
10163,1,0
10164,1,0
10167,1,0
10168,1,1
10172,1,0
10173,3,0
10174,1,0
10175,1,0
10176,1,0
10177,1,0
10178,1,0
10179,1,0
10180,1,0
10181,1,0
10182,1,0
10183,1,0
10184,1,0
10186,1,0
10187,1,0
10189,1,0
10190,1,0
10191,1,0
10192,1,0
10194,1,0
10195,1,1
10197,1,0
10198,1,0
10200,1,0
10201,1,1
10202,1,0
10203,1,0
10204,1,0
10205,1,0
10209,1,0
10212,1,0
10213,1,0
10214,3,1
10215,1,0
10217,1,0
10219,1,0
10220,1,0
10222,1,1
10224,3,0
10226,3,0
10227,1,1
10228,1,0
10229,1,0
10233,1,0
10234,1,0
10235,1,0
10236,1,0
10237,3,0
10238,1,0
10239,1,0
10241,1,0
10242,1,0
10244,3,0
10246,1,0
10247,1,0
10248,1,0
10249,1,0
10251,1,0
10252,1,0
10253,1,0
10254,1,0
10256,1,0
10257,1,0
10258,1,0
10259,1,0
10260,1,0
10261,1,0
10262,3,0
10266,1,0
10270,1,0
10271,1,0
10272,1,0
10273,1,0
10274,1,0
10275,3,0
10276,1,0
10277,1,0
10279,1,0
10280,2,0
10281,1,0
10282,1,0
10283,1,0
10284,1,0
10285,1,1
10286,1,0
10287,1,0
10288,1,0
10289,3,0
10291,1,0
10292,1,0
10293,3,0
10294,1,0
10295,1,0
10296,1,0
10297,1,0
10298,1,0
10299,1,0
10300,3,1
10301,1,1
10302,3,0
10303,1,0
10304,1,1
10305,1,0
10306,1,1
10307,1,0
10309,1,0
10310,1,0
10312,1,0
10313,1,0
10314,3,0
10315,1,0
10316,1,0
10317,3,0
10318,1,0
10322,1,0
10323,1,0
10324,1,0
10325,1,1
10328,1,0
10329,1,0
10330,1,0
10331,2,0
10332,1,0
10333,1,0
10334,1,0
10337,1,0
10338,1,0
10340,1,0
10341,1,0
10342,1,0
10343,2,0
10344,1,0
10345,1,1
10346,1,0
10348,1,0
10349,1,0
10365,2,0
10369,1,0
10371,2,0
10374,1,0
10375,2,0
10376,1,0
10377,1,0
10378,1,1
10390,1,0
10392,1,0
10395,1,0
10396,3,0
10398,1,0
10401,1,0
10402,1,1
10404,1,0
10406,1,0
10407,1,0
10416,1,0
10417,1,0
10424,3,0
10428,1,0
10433,1,0
10434,1,0
10436,1,1
10438,1,1
10440,1,0
10441,1,0
10442,1,0
10444,1,0
10447,3,0
10449,1,0
10450,1,0
10451,1,0
10452,1,0
10454,1,0
10455,2,0
10460,1,0
10462,2,0
10464,1,0
10465,1,0
10466,1,0
10469,1,0
10471,1,0
10472,1,1
10473,3,0
10474,1,0
10475,1,0
10476,1,0
10478,2,0
10479,1,0
10480,1,1
10481,1,0
10482,1,0
10483,1,0
10484,1,0
10487,1,0
10488,1,0
10489,2,0
10491,2,0
10498,1,1
10499,1,0
10500,1,0
10501,1,0
10502,1,0
10503,1,0
10504,1,0
10506,1,0
10508,3,0
10509,1,0
10511,1,0
10512,1,0
10513,1,0
10514,1,0
10516,1,1
10517,1,0
10518,1,0
10519,1,0
10520,1,0
10521,1,0
10531,1,1
10532,1,0
10535,1,0
10536,1,0
10537,1,0
10538,1,0
10539,1,0
10540,1,0
10541,3,0
10542,1,1
10543,1,1
10544,1,0
10547,1,0
10549,1,0
10550,1,0
10551,1,0
10552,1,0
10553,1,0
10555,1,0
10556,1,1
10557,1,0
10558,1,0
10559,1,0
10562,2,1
10563,1,0
10564,1,0
10566,1,0
10567,1,1
10568,1,0
10570,1,0
10571,1,0
10573,1,0
10574,1,0
10575,1,0
10576,1,1
10577,1,0
10578,1,0
10579,1,0
10581,1,0
10582,1,0
10583,1,0
10585,1,0
10586,1,1
10588,1,1
10589,1,0
10590,1,0
10591,1,0
10592,1,0
10593,1,0
10594,1,0
10598,1,0
10600,1,0
10601,1,0
10603,1,0
10604,1,0
10605,1,0
10609,1,0
10610,1,0
10611,1,0
10612,1,0
10613,1,0
10614,1,0
10615,1,0
10616,1,0
10617,1,1
10618,1,0
10619,1,0
10620,1,0
10625,2,0
10626,1,0
10627,1,0
10630,1,0
10632,1,1
10633,1,0
10634,1,0
10636,1,0
10637,1,0
10638,1,0
10639,1,0
10640,1,0
10642,1,0
10643,1,0
10644,1,0
10645,1,1
10647,1,0
10648,1,0
10649,1,0
10650,1,0
10651,1,0
10652,1,0
10653,1,0
10654,1,0
10655,1,0
10656,1,0
10659,1,0
10660,1,0
10661,2,0
10662,1,0
10667,1,0
10668,1,0
10669,1,0
10673,1,0
10675,1,0
10678,2,1
10679,1,1
10681,1,0
10682,2,0
10683,1,0
10684,1,0
10685,1,0
10687,1,0
10688,1,0
10695,1,0
10699,1,0
10700,2,0
10705,1,0
10710,1,0
10711,2,0
10712,1,0
10713,1,0
10714,1,0
10715,1,0
10716,2,0
10717,2,0
10718,2,0
10719,2,0
10720,2,0
10721,2,1
10722,2,0
10723,2,0
10726,1,0
10730,1,0
10731,1,0
10733,1,0
